Time:  135,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:15,g_pulseState:0,			  g_oldData:    0, g_newData:  630,adc:  672,adAvg:  630,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  630,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  136,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:16,g_pulseState:0,			  g_oldData:    0, g_newData:  640,adc:  672,adAvg:  640,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  640,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  137,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:17,g_pulseState:0,			  g_oldData:    0, g_newData:  648,adc:  673,adAvg:  648,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  648,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  138,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:18,g_pulseState:0,			  g_oldData:    0, g_newData:  654,adc:  673,adAvg:  654,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  654,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  139,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:19,g_pulseState:0,			  g_oldData:    0, g_newData:  659,adc:  673,adAvg:  659,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  659,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  140,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:20,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  673,adAvg:  662,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  141,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:21,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  627,adAvg:  653,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  142,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:22,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  627,adAvg:  647,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  143,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:23,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  627,adAvg:  642,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  144,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:24,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  627,adAvg:  638,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  145,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:25,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  510,adAvg:  606,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  146,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:26,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  510,adAvg:  582,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  147,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:27,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  510,adAvg:  564,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  148,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:28,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  510,adAvg:  550,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  149,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:29,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  234,adAvg:  471,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  150,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:30,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  234,adAvg:  412,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  151,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:31,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  234,adAvg:  367,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  152,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:32,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  234,adAvg:  334,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  153,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:33,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  270,adAvg:  318,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  154,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:34,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  270,adAvg:  306,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  155,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:35,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  270,adAvg:  297,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  156,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:36,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  270,adAvg:  290,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  157,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:37,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  474,adAvg:  336,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  158,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:38,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  474,adAvg:  370,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  159,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:39,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  474,adAvg:  396,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  160,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:40,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  474,adAvg:  415,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
